q1,q2,q3,q4,q5,q6,q7,x,y,z,alfa,beta,gamma
-90,-90,-90,-90,-90,-90,-90,0.026256149768399444,-0.0382336929242681,0.9336689231975126,-3.1157618344890046,0.010683357111375845,-0.31193005696168524
-90,-90,-90,-90,-90,-90,-60,-0.048108081457996325,-0.060826313127801006,0.9305306863964616,-3.051770919588384,0.03326249716804275,-0.633962922363214
-90,-90,-90,-90,-90,-90,-30,-0.12675385711170417,-0.06476016858920658,0.9167462707067328,-2.9706411439002527,0.08199248047924479,-0.9571674212155488
-90,-90,-90,-90,-90,-90,0,-0.20204674559368863,-0.05147494375380915,0.893591970740743,-2.8941583091533047,0.16600908070974996,-1.2759310628333957
-90,-90,-90,-90,-90,-90,30,-0.26876406206959697,-0.02488366334961254,0.863040562868982,-2.843979814217133,0.28639355730780197,-1.5899287750049724
-90,-90,-90,-90,-90,-90,60,-0.32426612994892623,0.010386201464510036,0.8272873059950973,-2.8422529038125135,0.4353550420684027,-1.9081630961636493
-90,-90,-90,-90,-90,-90,90,-0.36795839204047776,0.05009389641150039,0.7884108459924971,-2.9153469404830665,0.5950721580792812,-2.2530951299313506
-90,-90,-90,-90,-90,-60,-90,-0.4005865313472433,0.09089882203817606,0.7481796316059804,-2.790681825514014,0.6594645171179531,-2.1899920348812842
-90,-90,-90,-90,-90,-60,-60,-0.4235834799663216,0.13043033536218782,0.7080009065055136,-2.6927569105734968,0.7240645965630014,-2.171413086094437
-90,-90,-90,-90,-90,-60,-30,-0.4386545186120443,0.16722536282949502,0.6688974960794282,-2.6319521807942166,0.8005862679316341,-2.198066203262245
-90,-90,-90,-90,-90,-60,0,-0.4474675754637395,0.20050082554535076,0.6315734946529568,-2.6205702949929863,0.894733578805735,-2.2749165472445974
-90,-90,-90,-90,-90,-60,30,-0.4515137090807431,0.2299640221411529,0.5964701934383903,-2.6829654225601915,1.004693056184394,-2.421109240162446
-90,-90,-90,-90,-90,-60,60,-0.4520487873850396,0.2556446223561668,0.563826749766776,-2.8726422840851957,1.1162455408922567,-2.6869120257203525
-90,-90,-90,-90,-90,-60,90,-0.45008746036529046,0.27776602614478424,0.5337339237204873,3.012341772710351,1.1882497161907155,3.131157632893604
-90,-90,-90,-90,-90,-30,-90,-0.4464242142329943,0.2966550471174306,0.5061769155646566,-2.8524756656712515,1.2284912664087382,-2.730301926998548
-90,-90,-90,-90,-90,-30,-60,-0.4416652818154303,0.31267595625689165,0.48107538857398885,-2.5676211912510207,1.2335342215890566,-2.454672735900204
-90,-90,-90,-90,-90,-30,-30,-0.4362634952054146,0.32619982193281954,0.45830048684348274,-2.4254838876818963,1.2492488353210405,-2.328950916226374
-90,-90,-90,-90,-90,-30,0,-0.43054956138913497,0.33757651435629277,0.43769996600328204,-2.4068959248188753,1.2936522023940853,-2.3300913979503535
-90,-90,-90,-90,-90,-30,30,-0.42475965619442085,0.3471245175013204,0.4191098679981016,-2.5672759636770763,1.3651755429812291,-2.5107407155983066
-90,-90,-90,-90,-90,-30,60,-0.4190579952910441,0.35512616146473297,0.402363679066623,3.0945791701550216,1.4269037865491425,3.132169783418839
-90,-90,-90,-90,-90,-30,90,-0.41355485814847487,0.3618270802419125,0.3872984023973618,2.1943250730923665,1.3670358355544048,2.21542034130208
-90,-90,-90,-90,-90,0,-90,-0.4091777837345308,0.3673949214436798,0.3729061626888131,-3.093429316647088,1.4659494240818576,-3.068198334000727
-90,-90,-90,-90,-90,0,-60,-0.40499981518480255,0.37207225700380425,0.35995245864991565,-2.2857217967731507,1.4291443023868546,-2.260616192077033
-90,-90,-90,-90,-90,0,-30,-0.4010573542834899,0.3760029417593198,0.3483019979834063,-2.081888953001155,1.4023383958613587,-2.059603714285724
-90,-90,-90,-90,-90,0,0,-0.39736977609933083,0.3793087352742156,0.33782918582256904,-2.0793398247560972,1.4208656884377282,-2.061473793869152
-90,-90,-90,-90,-90,0,30,-0.39394428632911765,0.38209214215042014,0.32841841753070694,-2.3571565521790756,1.4794620822073377,-2.3445197794178347
-90,-90,-90,-90,-90,0,60,-0.3907795783033127,0.384439087372447,0.319964012721584,2.451198829868232,1.496342323135847,2.458342071830163
-90,-90,-90,-90,-90,0,90,-0.38786855224787375,0.3864213715178209,0.31236986165155145,1.8217350332521667,1.3639616308393323,1.8234604389104936
-90,-90,-90,-90,-90,30,-90,-0.39019604920332324,0.3880415695089494,0.3002910071937394,2.901861705715488,1.4701526603427175,2.9059352512004493
-90,-90,-90,-90,-90,30,-60,-0.39243491755098303,0.38943355099495175,0.289613446875647,-2.6112199322612466,1.4084167081617645,-2.6014032376211516
-90,-90,-90,-90,-90,30,-30,-0.39456260692053663,0.39062935162353934,0.28016865753938386,-2.530194774237586,1.3529277936143522,-2.515819746686303
-90,-90,-90,-90,-90,30,0,-0.39656563396892436,0.39165703049335737,0.2718077509899597,-2.6577840490976947,1.3305663026162193,-2.6433162391242133
-90,-90,-90,-90,-90,30,30,-0.3984372950212775,0.3925408613508306,0.264400025551488,-2.944667395064449,1.3227951427774842,-2.936793647619039
-90,-90,-90,-90,-90,30,60,-0.4001758248487879,0.393301701214692,0.2578310523586649,2.9277291931063263,1.2933492487710254,2.9209043576825886
-90,-90,-90,-90,-90,30,90,-0.4017828271208652,0.3939575522573684,0.25200035407621013,2.538656233176697,1.208715447377607,2.5080748781896465
-90,-90,-90,-90,-90,60,-90,-0.40949209434816203,0.39451136327853775,0.24310582352877524,3.055843619268281,1.1983094722994767,3.050330387307617
-90,-90,-90,-90,-90,60,-60,-0.4167515951275617,0.3949945523488575,0.23568530798505172,-2.984158609210752,1.126355374904148,-2.9670103959060263
-90,-90,-90,-90,-90,60,-30,-0.42351327819586926,0.39541609440318287,0.2294978027194895,-2.926651891392706,1.0585676810667477,-2.895820280249548
-90,-90,-90,-90,-90,60,0,-0.42975952865838446,0.3957838828022056,0.22433811881099908,-2.970093171132924,1.0075072094028275,-2.9392985273006826
-90,-90,-90,-90,-90,60,30,-0.4354932758174942,0.3961049912389164,0.22003280200990674,-3.0775243554668683,0.9660715697720802,-3.0636112876071255
-90,-90,-90,-90,-90,60,60,-0.4407310554994454,0.3963855772659536,0.2164366444815109,3.0559867678071346,0.9203642341701621,3.034265872462744
-90,-90,-90,-90,-90,60,90,-0.44549788911635685,0.3966309693353226,0.21342878639298896,2.886776810918647,0.8555093186933127,2.8093845316704047
-90,-90,-90,-90,-90,90,-90,-0.4570125343048421,0.3968437959394371,0.20994770507930283,3.103949844246222,0.7942450972516599,3.0888375071856546
-90,-90,-90,-90,-90,90,-60,-0.46747568570020137,0.39703124993845934,0.2077338206872898,-3.0796281744634038,0.7132575465601001,-3.0470986007130554
-90,-90,-90,-90,-90,90,-30,-0.4769139991220304,0.3971964317431181,0.20649004132556828,-3.054436859850113,0.6388543081231052,-2.996164178227704
-90,-90,-90,-90,-90,90,0,-0.48538238282782975,0.3973420266281776,0.20597689695922242,-3.0731053224450164,0.5759703575488688,-3.016399821230385
-90,-90,-90,-90,-90,90,30,-0.4929512529066359,0.3974703845301638,0.20600412257560563,-3.117393383708869,0.5211179646263482,-3.0931134914289404
-90,-90,-90,-90,-90,90,60,-0.4996976621051769,0.397583408731494,0.20642156316421917,3.1077383633098234,0.46834570358000155,3.06660428473484
